retailer_key,july_name,july_value,august_raw_dealer_id,august_name,august_value,august_as_pct_of_july,ratio
RET#86275,EP Tradelinks,7795,RET#86275,EP TRADELINKS,3567,45.76,0.4576
RET#72504,Friends Electricals and Plumbing,7740,RET#72504,FRIENDS ELECTRICALS AND PLUMBING,16234,209.74,2.0974
RET#13146,Mudit Agencies,7561,RET#13146,MUDIT AGENCIES,3476,45.97,0.4597
RET#94255,Vinayak Electrics and Plumbing,7378,RET#94255,VINAYAK ELECTRICS AND PLUMBING,19898,269.69,2.6969
RET#15662,Vijay Electrical & Hardware,7315,RET#15662,VIJAY ELECTRICAL & HARDWARE,26928,368.12,3.6812
RET#39397,SANDEEP SANITARY AND HARDWARE,7224,RET#39397,SANDEEP SANITARY AND HARDWARE,5002,69.24,0.6924
RET#81880,Pihu Hardware,7125,RET#81880,PIHU HARDWARE,26641,373.91,3.7391
RET#50033,SM traders,7084,RET#50033,SM TRADERS,29623,418.17,4.1817
RET#61530,Raj sanitary store & sons,7072,RET#61530,RAJ SANITARY STORE & SONS,13731,194.16,1.9416
RET#54991,Pehalwan di hatti,6993,RET#54991,PEHALWAN DI HATTI,2419,34.59,0.3459
RET#22523,Billas builders mall,6905,RET#22523,BILLAS BUILDERS MALL,13440,194.64,1.9464
RET#31846,NUTAN SANITARY WARE,6890,RET#31846,NUTAN SANITARY WARE,21257,308.52,3.0852
RET#38025,SURYA SALES HARDWARE AND ELECTRICALS,6890,RET#38025,SURYA SALES HARDWARE AND ELECTRICALS,11727,170.20,1.7020
RET#67771,Bharat hardware and paints,6890,RET#67771,BHARAT HARDWARE AND PAINTS,6890,100.00,1.0000
RET#59991,Ashoka sanitary store,6780,RET#59991,ASHOKA SANITARY STORE,4005,59.07,0.5907
RET#69890,DHANESHWARI HARDWARE,6770,RET#69890,DHANESHWARI HARDWARE,111972,1653.94,16.5394
RET#62378,Sun shine sanitary,6756,RET#62378,SUN SHINE SANITARY,5690,84.22,0.8422
RET#87978,SHIV SHAKTI HARDWARE,6746,RET#87978,SHIV SHAKTI HARDWARE,11160,165.43,1.6543
RET#86172,BALIRAJA MACHINERY,6744,RET#86172,BALIRAJA MACHINERY,22328,331.08,3.3108
RET#9292,Priyanka Sanitary,6708,RET#9292,PRIYANKA SANITARY,18250,272.06,2.7206
RET#14577,Sai sakthi spares & Electricals,6695,RET#14577,SAI SAKTHI SPARES & ELECTRICALS,9867,147.38,1.4738
RET#60003,Mittal iron store,6567,RET#60003,MITTAL IRON STORE,1422,21.65,0.2165
RET#15838,Shree Jalaram Traders,6545,RET#15838,SHREE JALARAM TRADERS,4735,72.35,0.7235
RET#41234,M/s Madhav kumar Radhe sham,6492,RET#41234,M/S MADHAV KUMAR RADHE SHAM,4471,68.87,0.6887
RET#82499,Gandhi agro Agencies,6485,RET#82499,GANDHI AGRO AGENCIES,9908,152.78,1.5278
RET#9387,T P Enterprise,6477,RET#9387,T P ENTERPRISE,20756,320.46,3.2046
RET#18454,Raj shri hardware,6415,RET#18454,RAJ SHRI HARDWARE,150509,2346.20,23.4620
RET#81780,S.K traders,6414,RET#81780,S.K TRADERS,32290,503.43,5.0343
RET#35978,M/S Neha granites and marbles,6406,RET#35978,M/S NEHA GRANITES AND MARBLES,38404,599.50,5.9950
RET#73329,Lowkya Electricals,6369,RET#73329,LOWKYA ELECTRICALS,8635,135.58,1.3558
RET#73027,CAPITAL HARDWARE AND SANITARY,6289,RET#73027,CAPITAL HARDWARE AND SANITARY,68374,1087.20,10.8720
RET#69743,M/S Ashoka Machineary Store,5945,RET#69743,M/S ASHOKA MACHINEARY STORE,6528,109.81,1.0981
RET#20103,Maruti hardware and paints,5940,RET#20103,MARUTI HARDWARE AND PAINTS,1224,20.61,0.2061
RET#32897,Eshwari Agency,5940,RET#32897,ESHWARI AGENCY,11418,192.22,1.9222
RET#88916,Shiv Traders,5935,RET#88916,SHIV TRADERS,13809,232.67,2.3267
RET#17674,JANTA HARDWARE & ELECTRICALS,5862,RET#17674,JANTA HARDWARE & ELECTRICALS,14256,243.19,2.4319
RET#64255,Dango pump and sanitary,5753,RET#64255,DANGO PUMP AND SANITARY,5879,102.19,1.0219
RET#71730,VIJAY SALES CORPORATION,5702,RET#71730,VIJAY SALES CORPORATION,3740,65.59,0.6559
RET#73717,DEV SANITATION,5508,RET#73717,DEV SANITATION,35734,648.77,6.4877
RET#91140,Jyothi traders,5494,RET#91140,JYOTHI TRADERS,5492,99.96,0.9996
RET#32409,Shri balaji traders,5480,RET#32409,SHRI BALAJI TRADERS,59395,1083.85,10.8385
RET#94067,Siva Tiles & Granites,5456,RET#94067,SIVA TILES & GRANITES,3674,67.34,0.6734
RET#39048,Dinesh Shivhare Plumber works & material Suppliers,5417,RET#39048,DINESH SHIVHARE PLUMBER WORKS & MATERIAL SUPPLIERS,570,10.52,0.1052
RET#37426,Rudra Traders Hardware & Paint Store,5361,RET#37426,RUDRA TRADERS HARDWARE & PAINT STORE,3578,66.74,0.6674
RET#89351,Maa Enterprise,5188,RET#89351,MAA ENTERPRISE,6888,132.77,1.3277
RET#52145,Sai Traders,5166,RET#52145,SAI TRADERS,6090,117.89,1.1789
RET#30720,Focus Electricals and Plumbing,5100,RET#30720,FOCUS ELECTRICALS AND PLUMBING,3694,72.43,0.7243
RET#51869,Padmavathi Hardwares,5085,RET#51869,PADMAVATHI HARDWARES,31524,619.94,6.1994
RET#93801,Lakshmi hardware and power tools,4915,RET#93801,LAKSHMI HARDWARE AND POWER TOOLS,4553,92.63,0.9263
RET#60170,Rishab marble and sanitary,4914,RET#60170,RISHAB MARBLE AND SANITARY,7899,160.74,1.6074
RET#52390,Alok Marketing,4862,RET#52390,ALOK MARKETING,6314,129.86,1.2986
RET#74842,Zayan Traders,4788,RET#74842,ZAYAN TRADERS,6008,125.48,1.2548
RET#53769,Satguru Building Material Store,4720,RET#53769,SATGURU BUILDING MATERIAL STORE,8096,171.53,1.7153
RET#66807,G R hardware and sanitory,4594,RET#66807,G R HARDWARE AND SANITORY,8004,174.23,1.7423
RET#43127,Balaji Hardware and Electrical,4501,RET#43127,BALAJI HARDWARE AND ELECTRICAL,7480,166.19,1.6619
RET#89208,Shree Krishna Ceramics,4466,RET#89208,SHREE KRISHNA CERAMICS,6154,137.80,1.3780
RET#56564,Jai Durga trader,4345,RET#56564,JAI DURGA TRADER,7953,183.04,1.8304
RET#9860,M I Hardware &Sanitary,4267,RET#9860,M I HARDWARE &SANITARY,48647,1140.07,11.4007
RET#36166,Sejal sanitaryware,4030,RET#36166,SEJAL SANITARYWARE,9145,226.92,2.2692
RET#9841,Annapurna Hardware,3990,RET#9841,ANNAPURNA HARDWARE,50986,1277.84,12.7784
RET#71468,Kisan Sanitary,3966,RET#71468,KISAN SANITARY,3884,97.93,0.9793
RET#83902,Patel electrical hardware and paints,3900,RET#83902,PATEL ELECTRICAL HARDWARE AND PAINTS,5254,134.72,1.3472
RET#41177,N K sales Corp,3707,RET#41177,N K SALES CORP,11743,316.78,3.1678
RET#15808,AMBICA HARDWARE,3689,RET#15808,AMBICA HARDWARE,7416,201.03,2.0103
RET#40055,UMIYA HARDWARE STORES,3683,RET#40055,UMIYA HARDWARE STORES,5726,155.47,1.5547
RET#16516,Sai Electrical,3679,RET#16516,SAI ELECTRICAL,20340,552.87,5.5287
RET#13135,Kaushal Hindon Sanitary and Electricals,3573,RET#13135,KAUSHAL HINDON SANITARY AND ELECTRICALS,10128,283.46,2.8346
RET#38585,Tiles hub,3363,RET#38585,TILES HUB,1844,54.83,0.5483
RET#18501,Sachdeva Sanitation,3201,RET#18501,SACHDEVA SANITATION,6732,210.31,2.1031
RET#32909,Shri Gurudatta Hardware,3161,RET#32909,SHRI GURUDATTA HARDWARE,10945,346.25,3.4625
